words,count,emotion
esteemed,3,positive
fearless,2,positive
attracted,5,negative
happy,6,positive
attached,4,positive
hated,1,negative
focused,2,positive
adequate,4,positive
entitled,1,positive
ecstatic,2,positive
free,2,positive
angry,1,negative
sad,4,negative
lost,1,negative
powerless,1,negative
independent,1,positive
surprise,1,positive
loved,2,positive
fearful,1,negative
alone,1,negative
demoralized,1,negative
